Genera,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
Proteus,13,0,0,10,3,0,5,2,0,86,208,34,296,25,112,5,290,17,2,0,0,1138,778,349,81,459,125,300,523,53,137,295,88,258,1071,231,471,79,99,144,154,81
Morganella,18,0,0,0,5,0,0,0,0,9,86,69,4,0,0,0,304,52,0,1,1,1,272,723,1083,0,1,7,609,429,141,105,556,779,16,340,338,98,251,387,453,77
Clostridium,1,1,0,2,2,4,0,84,21,0,1,3,0,0,135,32,3,36,0,0,628,0,1,0,0,137,880,1,2,292,329,599,0,12,1,0,11,300,546,72,155,329
Tissierella,2,0,0,0,1,3,4,0,2,0,0,1,0,4,0,0,10,3,0,1,1,0,0,1,0,0,1,3,17,7,524,169,517,26,16,525,357,562,209,559,308,545
Pseudomonas,35,17,0,14,46,73,10,20,12,32,14,20,779,104,481,74,103,69,593,65,131,24,19,9,0,10,4,5,1,0,0,0,0,3,4,0,0,0,0,0,1,2
Romboutsia,0,0,0,5,0,0,0,166,0,0,1,4,0,0,0,49,0,0,0,1004,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,0
Escherichia-Shigella,0,2,223,18,15,37,15,68,82,8,11,15,2,15,35,100,0,14,0,0,1,1,0,3,0,99,2,0,0,50,0,1,12,1,6,1,0,2,0,0,0,0
Stenotrophomonas,32,15,0,27,180,83,0,11,7,34,20,1,1,23,3,4,0,5,82,2,62,3,4,4,1,5,2,5,0,0,0,0,0,1,4,0,0,1,2,0,0,0
Serratia,62,12,0,28,228,112,0,6,11,33,6,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporosarcina,0,0,0,10,3,0,8,3,7,0,0,1,0,5,0,0,21,5,0,16,131,1,2,12,11,66,2,8,11,16,1,1,2,16,13,52,0,9,6,3,12,9
Psychrobacillus,0,0,0,0,0,0,21,3,22,14,4,29,5,38,11,22,4,6,194,7,9,0,11,1,0,26,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0
Mammaliicoccus,0,0,0,9,0,11,37,10,42,7,8,17,7,0,37,33,5,7,23,4,10,3,11,5,0,6,4,2,4,4,3,3,1,0,5,6,0,8,3,3,7,8
Paeniclostridium,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,254,24,4,0,0,0,0,0,0,0,0,0,0
Achromobacter,4,0,12,11,42,21,4,10,0,12,5,0,1,0,1,7,0,2,16,4,18,0,1,0,0,0,0,52,1,1,0,0,0,3,11,1,0,0,0,0,37,1
Peribacillus,0,3,0,0,0,0,0,21,47,54,18,83,5,20,9,6,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeotgalicoccus,0,0,0,0,0,13,29,4,44,11,8,16,2,12,2,15,13,4,6,3,2,0,16,21,0,6,1,3,5,4,1,2,2,5,2,3,0,3,2,3,0,5
Lysinibacillus,0,0,0,0,0,0,0,3,17,0,0,4,2,0,23,0,8,15,3,21,97,0,11,26,2,1,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0
Enterococcus,0,0,16,6,0,9,0,4,20,0,4,5,0,0,14,11,0,0,0,1,0,0,1,2,8,39,4,1,1,0,13,1,0,1,13,1,6,3,6,6,18,4
Staphylococcus,0,0,0,12,2,0,44,6,12,22,0,2,4,0,77,17,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Corynebacterium,0,6,0,1,0,0,37,5,57,5,5,10,0,0,0,23,0,4,0,2,2,0,4,3,0,0,0,1,1,4,0,2,1,6,4,1,0,1,3,0,6,5
Herminiimonas,11,30,0,12,14,33,13,4,5,9,5,3,0,19,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus,0,0,0,4,1,2,0,80,0,1,0,0,0,0,0,31,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,1,2,0,1,1,2
Vagococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,24,1,0,1,59,0,0,1,3,11,0,0,10
Vicinamibacteraceae_genus,7,10,8,10,2,12,4,2,19,11,6,20,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
